,,,Actual,Predicted
Copper,Values,0,2.0,3
Copper,Values,1,3.0,1
Copper,Values,2,1.0,1
Copper,Values,3,5.0,2
Copper,Values,4,5.0,0
Copper,Values,5,15.0,1
Copper,Values,6,8.0,0
Copper,Values,7,6.0,0
Copper,Values,8,3.0,1
Copper,Values,9,0.0,6
Copper,Values,10,2.0,10
Copper,Values,11,2.0,13
Copper,Values,12,9.0,4
Copper,Values,13,33.0,5
Copper,Values,14,22.0,12
Copper,Values,15,69.0,27
Copper,Values,16,45.0,52
Copper,Values,17,117.0,47
Copper,Values,18,137.0,60
Copper,Values,19,143.0,151
Copper,Values,20,222.0,144
Copper,Values,21,241.0,185
Copper,Values,22,321.0,281
Copper,Values,23,318.0,362
Copper,Values,24,636.0,546
Copper,Values,25,470.0,486
Copper,Values,26,563.0,540
Copper,Values,27,440.0,539
Copper,Values,28,434.0,544
Copper,Values,29,333.0,452
Copper,Values,30,371.0,403
Copper,Values,31,279.0,310
Copper,Values,32,182.0,223
Copper,Values,33,147.0,112
Copper,Values,34,188.0,130
Copper,Values,35,105.0,180
Copper,Values,36,118.0,187
Copper,Values,37,98.0,148
Copper,Values,38,73.0,50
Copper,Values,39,55.0,29
Copper,Values,40,38.0,24
Copper,Values,41,25.0,26
Copper,Values,42,15.0,27
Copper,Values,43,9.0,9
Copper,Values,44,9.0,0
Copper,Values,45,12.0,0
Copper,Values,46,0.0,0
Copper,Values,47,2.0,0
Copper,Values,48,2.0,0
Copper,Values,49,1.0,1
Copper,Edges,0,-2.280499520865303,-2.5430289677784073
Copper,Edges,1,-2.1526089231854457,-2.4063784973323963
Copper,Edges,2,-2.0247183255055883,-2.2697280268863853
Copper,Edges,3,-1.8968277278257308,-2.133077556440374
Copper,Edges,4,-1.7689371301458734,-1.996427085994363
Copper,Edges,5,-1.641046532466016,-1.859776615548352
Copper,Edges,6,-1.5131559347861587,-1.7231261451023407
Copper,Edges,7,-1.3852653371063013,-1.5864756746563295
Copper,Edges,8,-1.2573747394264438,-1.4498252042103186
Copper,Edges,9,-1.1294841417465864,-1.3131747337643076
Copper,Edges,10,-1.001593544066729,-1.1765242633182964
Copper,Edges,11,-0.8737029463868715,-1.0398737928722852
Copper,Edges,12,-0.7458123487070143,-0.9032233224262742
Copper,Edges,13,-0.6179217510271569,-0.7665728519802633
Copper,Edges,14,-0.4900311533472994,-0.6299223815342521
Copper,Edges,15,-0.36214055566744197,-0.49327191108824087
Copper,Edges,16,-0.23424995798758452,-0.3566214406422299
Copper,Edges,17,-0.10635936030772708,-0.21997097019621892
Copper,Edges,18,0.021531237372130363,-0.08332049975020794
Copper,Edges,19,0.1494218350519878,0.053329970695803475
Copper,Edges,20,0.27731243273184525,0.18998044114181445
Copper,Edges,21,0.4052030304117027,0.3266309115878254
Copper,Edges,22,0.5330936280915601,0.46328138203383684
Copper,Edges,23,0.6609842257714176,0.5999318524798478
Copper,Edges,24,0.7888748234512746,0.7365823229258588
Copper,Edges,25,0.916765421131132,0.8732327933718698
Copper,Edges,26,1.0446560188109895,1.0098832638178807
Copper,Edges,27,1.172546616490847,1.1465337342638922
Copper,Edges,28,1.3004372141707043,1.2831842047099031
Copper,Edges,29,1.4283278118505618,1.419834675155914
Copper,Edges,30,1.5562184095304192,1.5564851456019255
Copper,Edges,31,1.6841090072102767,1.693135616047936
Copper,Edges,32,1.8119996048901341,1.8297860864939475
Copper,Edges,33,1.9398902025699916,1.966436556939959
Copper,Edges,34,2.067780800249849,2.1030870273859694
Copper,Edges,35,2.1956713979297064,2.239737497831981
Copper,Edges,36,2.323561995609564,2.3763879682779914
Copper,Edges,37,2.4514525932894213,2.513038438724003
Copper,Edges,38,2.5793431909692788,2.649688909170014
Copper,Edges,39,2.707233788649136,2.7863393796160247
Copper,Edges,40,2.8351243863289937,2.922989850062036
Copper,Edges,41,2.963014984008851,3.0596403205080476
Copper,Edges,42,3.0909055816887085,3.196290790954058
Copper,Edges,43,3.218796179368566,3.3329412614000695
Copper,Edges,44,3.3466867770484234,3.469591731846081
Copper,Edges,45,3.474577374728281,3.6062422022920915
Copper,Edges,46,3.6024679724081383,3.742892672738103
Copper,Edges,47,3.7303585700879958,3.8795431431841134
Copper,Edges,48,3.8582491677678523,4.016193613630125
Copper,Edges,49,3.9861397654477098,4.152844084076136
Copper,Edges,50,4.114030363127568,4.289494554522148
Palladium,Values,0,1.0,1
Palladium,Values,1,0.0,0
Palladium,Values,2,0.0,2
Palladium,Values,3,0.0,1
Palladium,Values,4,0.0,0
Palladium,Values,5,0.0,2
Palladium,Values,6,0.0,1
Palladium,Values,7,1.0,1
Palladium,Values,8,1.0,1
Palladium,Values,9,1.0,1
Palladium,Values,10,0.0,1
Palladium,Values,11,0.0,1
Palladium,Values,12,2.0,0
Palladium,Values,13,0.0,1
Palladium,Values,14,1.0,1
Palladium,Values,15,0.0,0
Palladium,Values,16,3.0,0
Palladium,Values,17,1.0,0
Palladium,Values,18,0.0,0
Palladium,Values,19,0.0,1
Palladium,Values,20,0.0,1
Palladium,Values,21,2.0,4
Palladium,Values,22,0.0,2
Palladium,Values,23,3.0,2
Palladium,Values,24,4.0,1
Palladium,Values,25,0.0,0
Palladium,Values,26,0.0,1
Palladium,Values,27,1.0,1
Palladium,Values,28,0.0,1
Palladium,Values,29,3.0,0
Palladium,Values,30,0.0,1
Palladium,Values,31,0.0,0
Palladium,Values,32,1.0,0
Palladium,Values,33,0.0,2
Palladium,Values,34,0.0,0
Palladium,Values,35,0.0,1
Palladium,Values,36,0.0,0
Palladium,Values,37,0.0,1
Palladium,Values,38,2.0,0
Palladium,Values,39,1.0,1
Palladium,Values,40,0.0,6
Palladium,Values,41,0.0,1
Palladium,Values,42,1.0,2
Palladium,Values,43,0.0,0
Palladium,Values,44,1.0,2
Palladium,Values,45,0.0,1
Palladium,Values,46,4.0,2
Palladium,Values,47,8.0,7
Palladium,Values,48,2.0,3
Palladium,Values,49,1.0,4
Palladium,Edges,0,-0.7891814588318614,-0.6873515316284398
Palladium,Edges,1,-0.7110813932566133,-0.6166042495087573
Palladium,Edges,2,-0.6329813276813652,-0.5458569673890747
Palladium,Edges,3,-0.5548812621061171,-0.4751096852693923
Palladium,Edges,4,-0.476781196530869,-0.4043624031497098
Palladium,Edges,5,-0.39868113095562085,-0.3336151210300273
Palladium,Edges,6,-0.3205810653803728,-0.2628678389103448
Palladium,Edges,7,-0.2424809998051246,-0.1921205567906623
Palladium,Edges,8,-0.16438093422987654,-0.1213732746709798
Palladium,Edges,9,-0.08628086865462847,-0.050625992551297294
Palladium,Edges,10,-0.008180803079380294,0.020121289568385214
Palladium,Edges,11,0.06991926249586777,0.09086857168806772
Palladium,Edges,12,0.14801932807111584,0.16161585380775012
Palladium,Edges,13,0.22611939364636402,0.23236313592743263
